event_id,event_time,site_id,site_name,industry_type,region,site_type,asset_id,asset_type,plc_id,sensor_package_id,waste_stream,process_area,ch4_pct,co2_pct,o2_pct,balance_gas_pct,h2s_ppm,temperature_c,static_pressure_kpa,gas_flow_nm3_h,plc_status,format_type,simulated_scenario,expected_severity
EVT-000012,2026-05-26T07:23:42Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-02,Landfill Gas Well,PLC-006,GAS-ANALYZER-006,Municipal Solid Waste,Landfill Gas Collection,42.1,54.1,1.7,2.1,75,32.3,11.7,96.6,Online,CSV,METHANE_QUALITY_DROP_WARNING,Warning
EVT-000013,2026-05-26T07:23:47Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,DIGESTER-01,Anaerobic Digester,PLC-001,GAS-ANALYZER-001,Wet Food Waste,Biogas Generation,56.0,33.3,1.2,9.5,551,37.5,18.3,76.2,Online,CSV,H2S_HIGH_WARNING,Warning
EVT-000014,2026-05-26T07:23:47Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,SKID-01,Biogas Upgrading Skid,PLC-002,GAS-ANALYZER-002,Mixed Organic Waste,Gas Conditioning,55.7,39.3,0.6,4.4,60,38.5,17.5,118.5,Online,CSV,Normal,Normal
EVT-000015,2026-05-26T07:23:47Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,TANK-01,Wastewater Process Tank,PLC-003,GAS-ANALYZER-003,Primary Sludge,Wastewater Treatment,52.7,41.5,1.7,4.1,251,34.0,9.6,111.5,Online,CSV,Normal,Normal
EVT-000016,2026-05-26T07:23:47Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,DIGESTER-02,Anaerobic Digester,PLC-004,GAS-ANALYZER-004,Sewage Sludge,Sludge Digestion,68.4,29.3,1.3,1.0,184,38.1,17.7,93.6,Online,CSV,Normal,Normal
EVT-000017,2026-05-26T07:23:47Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-01,Landfill Gas Well,PLC-005,GAS-ANALYZER-005,Municipal Solid Waste,Landfill Gas Collection,55.3,33.0,0.5,11.2,148,34.4,12.0,115.2,Online,CSV,Normal,Normal
EVT-000018,2026-05-26T07:23:47Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-02,Landfill Gas Well,PLC-006,GAS-ANALYZER-006,Municipal Solid Waste,Landfill Gas Collection,50.7,38.7,0.5,10.1,959,33.8,11.2,105.9,Online,CSV,H2S_HIGH_WARNING,Warning
EVT-000019,2026-05-26T07:23:52Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,DIGESTER-01,Anaerobic Digester,PLC-001,GAS-ANALYZER-001,Wet Food Waste,Biogas Generation,60.6,28.3,0.7,10.4,257,34.2,6.6,83.9,Stale,CSV,PLC_STALE_WARNING,Warning
EVT-000020,2026-05-26T07:23:52Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,SKID-01,Biogas Upgrading Skid,PLC-002,GAS-ANALYZER-002,Mixed Organic Waste,Gas Conditioning,66.8,27.7,1.7,3.8,131,38.1,9.6,103.9,Online,CSV,Normal,Normal
EVT-000021,2026-05-26T07:23:52Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,TANK-01,Wastewater Process Tank,PLC-003,GAS-ANALYZER-003,Primary Sludge,Wastewater Treatment,59.1,29.5,0.6,10.8,162,32.6,12.4,77.9,Online,CSV,Normal,Normal
EVT-000022,2026-05-26T07:23:52Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,DIGESTER-02,Anaerobic Digester,PLC-004,GAS-ANALYZER-004,Sewage Sludge,Sludge Digestion,54.9,30.7,0.5,13.9,21,37.4,19.7,92.0,Online,CSV,Normal,Normal
EVT-000023,2026-05-26T07:23:52Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-01,Landfill Gas Well,PLC-005,GAS-ANALYZER-005,Municipal Solid Waste,Landfill Gas Collection,54.7,40.7,1.2,3.4,113,39.5,10.9,109.6,Online,CSV,Normal,Normal
EVT-000024,2026-05-26T07:23:52Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-02,Landfill Gas Well,PLC-006,GAS-ANALYZER-006,Municipal Solid Waste,Landfill Gas Collection,51.8,36.6,0.8,10.8,35,39.0,11.7,110.6,Online,CSV,Normal,Normal
EVT-000025,2026-05-26T07:23:57Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,DIGESTER-01,Anaerobic Digester,PLC-001,GAS-ANALYZER-001,Wet Food Waste,Biogas Generation,55.4,40.0,0.6,4.0,271,38.3,19.3,81.3,Online,CSV,Normal,Normal
EVT-000026,2026-05-26T07:23:57Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,SKID-01,Biogas Upgrading Skid,PLC-002,GAS-ANALYZER-002,Mixed Organic Waste,Gas Conditioning,63.0,32.3,1.3,3.4,44,32.4,18.1,64.5,Online,CSV,Normal,Normal
EVT-000027,2026-05-26T07:23:57Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,TANK-01,Wastewater Process Tank,PLC-003,GAS-ANALYZER-003,Primary Sludge,Wastewater Treatment,57.0,29.7,1.4,11.9,142,34.2,10.1,113.5,Online,CSV,Normal,Normal
EVT-000028,2026-05-26T07:23:57Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,DIGESTER-02,Anaerobic Digester,PLC-004,GAS-ANALYZER-004,Sewage Sludge,Sludge Digestion,61.4,25.4,1.6,11.6,233,35.4,6.0,92.1,Online,CSV,Normal,Normal
EVT-000029,2026-05-26T07:23:57Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-01,Landfill Gas Well,PLC-005,GAS-ANALYZER-005,Municipal Solid Waste,Landfill Gas Collection,53.3,38.7,1.2,6.8,50,38.8,15.6,64.8,Online,CSV,Normal,Normal
EVT-000030,2026-05-26T07:23:57Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-02,Landfill Gas Well,PLC-006,GAS-ANALYZER-006,Municipal Solid Waste,Landfill Gas Collection,59.5,36.9,0.9,2.7,152,34.7,18.5,109.6,Online,CSV,Normal,Normal
EVT-000031,2026-05-26T07:24:02Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,DIGESTER-01,Anaerobic Digester,PLC-001,GAS-ANALYZER-001,Wet Food Waste,Biogas Generation,58.4,39.4,0.6,1.6,60,34.0,9.8,108.2,Online,CSV,Normal,Normal
EVT-000032,2026-05-26T07:24:02Z,SITE-001,North Biogas Facility,Biogas,North,Biogas Facility,SKID-01,Biogas Upgrading Skid,PLC-002,GAS-ANALYZER-002,Mixed Organic Waste,Gas Conditioning,59.9,32.0,0.5,7.6,199,38.8,17.3,95.8,Online,CSV,Normal,Normal
EVT-000033,2026-05-26T07:24:02Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,TANK-01,Wastewater Process Tank,PLC-003,GAS-ANALYZER-003,Primary Sludge,Wastewater Treatment,61.6,25.3,1.0,12.1,639,36.4,16.8,87.6,Online,CSV,H2S_HIGH_WARNING,Warning
EVT-000034,2026-05-26T07:24:02Z,SITE-002,West Wastewater Works,Wastewater,West,Wastewater Treatment Plant,DIGESTER-02,Anaerobic Digester,PLC-004,GAS-ANALYZER-004,Sewage Sludge,Sludge Digestion,63.3,28.0,0.9,7.8,39,36.9,7.2,117.6,Online,CSV,Normal,Normal
EVT-000035,2026-05-26T07:24:02Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-01,Landfill Gas Well,PLC-005,GAS-ANALYZER-005,Municipal Solid Waste,Landfill Gas Collection,67.7,28.8,0.9,2.6,246,33.1,11.8,54.4,Online,CSV,Normal,Normal
EVT-000036,2026-05-26T07:24:02Z,SITE-003,South Landfill Gas Field,LandfillGas,South,Landfill Gas Field,WELL-02,Landfill Gas Well,PLC-006,GAS-ANALYZER-006,Municipal Solid Waste,Landfill Gas Collection,61.2,30.7,0.7,7.4,112,35.1,18.5,105.9,Online,CSV,Normal,Normal
